title,difficulty,serves,rating,reviews,vegetarian,vegan,dairy_free,keto,gluten_free,prep_time,cook_time,ingredients,ingredient,recipe_urls
Warm spring vegetables,Easy,Serves 6,Back to ,10 ratings,True,True,False,False,True,Prep:20 mins,Cook:2 mins - 3 mins,,"['2 large courgettes, sliced into ribbons with a vegetable peeler', 'juice 1 lemon', '200g asparagus spears, washed and trimmed', '100g frozen peas', '100g frozen broad beans', '1 tbsp extra virgin olive oil', 'small pack parsley, roughly chopped']",https://www.bbcgoodfood.com/recipes/warm-spring-vegetables
How to cook brussels sprouts,Easy,Serves 8,Back to ,3 ratings,False,True,False,False,True,Prep:5 mins,Cook:10 mins,,"['750g brussels sprouts, trimmed, any large ones halved or quartered', 'Knob of unsalted butter (optional)']",https://www.bbcgoodfood.com/recipes/how-to-cook-brussels-sprouts
How to poach an egg,Easy,Serves 1 - 4,Back to ,8 ratings,True,False,True,True,True,Prep:3 mins,Cook:4 mins,,"['white wine vinegar', 'eggs, as many as you want to poach']",https://www.bbcgoodfood.com/recipes/poached-eggs
Lemon drizzle cake,Easy,Cuts into 10 slices,Back to ,2823 ratings,False,False,False,False,False,Prep:15 mins,Cook:45 mins,,"['225g unsalted butter,  softened', '225g caster sugar', '4 eggs', '225g self-raising flour', '1 lemon, zested', '1½ lemons, juiced', '85g caster sugar']",https://www.bbcgoodfood.com/recipes/lemon-drizzle-cake
Red velvet cake,More effort,Serves 18 - 20,Back to ,178 ratings,False,False,False,False,False,Prep:1 hr and 5 mins,Cook:1 hr,,"['vegetable oil,', '500g plain flour', 'cocoa powder', '4 tsp baking powder', '2 tsp bicarbonate of soda', '560g light brown soft sugar', 'fine salt', '400ml buttermilk', '4 tsp vanilla extract', 'red food colouring gel', '4 large eggs', '250g slightly salted butter, at room temperature', '750g icing sugar', 'full-fat soft cheese', '1 tsp vanilla extract']",https://www.bbcgoodfood.com/recipes/red-velvet-cake
Easy chocolate fudge cake,Easy,Serves 8,Back to ,1010 ratings,True,False,False,False,False,Prep:25 mins,Cook:30 mins,,"['150ml sunflower oil, plus extra for the tin', '175g self-raising flour', 'cocoa powder', '1 tsp bicarbonate of soda', '150g caster sugar', '2 tbsp golden syrup', '2 large eggs, lightly beaten', 'semi-skimmed milk', '100g unsalted butter', '225g icing sugar', 'cocoa powder', '2½ tbsp milk (a little more if needed)']",https://www.bbcgoodfood.com/recipes/naughty-chocolate-fudge-cake
Lemon & ginger tea,Easy,Serves 2,Back to ,12 ratings,True,False,False,False,True,Prep:5 mins,,,"['1 lemon', '2cm piece root ginger, finely sliced', 'honey to taste']",https://www.bbcgoodfood.com/recipes/lemon-ginger-tea
Air-fryer chips,Easy,Serves 4,Back to ,21 ratings,True,True,True,False,True,Prep:10 mins,Cook:35 mins,,"['4-5 large potatoes, about 1kg', '1 tbsp sunflower or  olive oil']",https://www.bbcgoodfood.com/recipes/air-fried-chips
Celery juice,Easy,Serves 2,Back to ,2 ratings,True,True,True,False,True,Prep:10 mins,,,"['1 head of  celery (about 500g)', '1 green apple (about 120g), peeled, quartered and cored ', '½-1  lemon, juiced', '20g  ginger, finely grated']",https://www.bbcgoodfood.com/recipes/celery-juice
Low-sugar lime & basil green juice,Easy,Serves 1,Back to ,5 ratings,True,True,False,False,True,Prep:5 mins,,,"['chilled apple and elderflower juice', '50g baby spinach', '20g basil leaves', 'cucumber', '1 lime, zested and juiced']",https://www.bbcgoodfood.com/recipes/low-sugar-lime-basil-green-juice
Warm spring vegetables,Easy,Serves 6,Back to ,10 ratings,True,True,False,False,True,Prep:20 mins,Cook:2 mins - 3 mins,,"['2 large courgettes, sliced into ribbons with a vegetable peeler', 'juice 1 lemon', '200g asparagus spears, washed and trimmed', '100g frozen peas', '100g frozen broad beans', '1 tbsp extra virgin olive oil', 'small pack parsley, roughly chopped']",https://www.bbcgoodfood.com/recipes/warm-spring-vegetables
How to cook brussels sprouts,Easy,Serves 8,Back to ,3 ratings,False,True,False,False,True,Prep:5 mins,Cook:10 mins,,"['750g brussels sprouts, trimmed, any large ones halved or quartered', 'Knob of unsalted butter (optional)']",https://www.bbcgoodfood.com/recipes/how-to-cook-brussels-sprouts
How to poach an egg,Easy,Serves 1 - 4,Back to ,8 ratings,True,False,True,True,True,Prep:3 mins,Cook:4 mins,,"['white wine vinegar', 'eggs, as many as you want to poach']",https://www.bbcgoodfood.com/recipes/poached-eggs
Lemon drizzle cake,Easy,Cuts into 10 slices,Back to ,2823 ratings,False,False,False,False,False,Prep:15 mins,Cook:45 mins,,"['225g unsalted butter,  softened', '225g caster sugar', '4 eggs', '225g self-raising flour', '1 lemon, zested', '1½ lemons, juiced', '85g caster sugar']",https://www.bbcgoodfood.com/recipes/lemon-drizzle-cake
Red velvet cake,More effort,Serves 18 - 20,Back to ,178 ratings,False,False,False,False,False,Prep:1 hr and 5 mins,Cook:1 hr,,"['vegetable oil,', '500g plain flour', 'cocoa powder', '4 tsp baking powder', '2 tsp bicarbonate of soda', '560g light brown soft sugar', 'fine salt', '400ml buttermilk', '4 tsp vanilla extract', 'red food colouring gel', '4 large eggs', '250g slightly salted butter, at room temperature', '750g icing sugar', 'full-fat soft cheese', '1 tsp vanilla extract']",https://www.bbcgoodfood.com/recipes/red-velvet-cake
Easy chocolate fudge cake,Easy,Serves 8,Back to ,1010 ratings,True,False,False,False,False,Prep:25 mins,Cook:30 mins,,"['150ml sunflower oil, plus extra for the tin', '175g self-raising flour', 'cocoa powder', '1 tsp bicarbonate of soda', '150g caster sugar', '2 tbsp golden syrup', '2 large eggs, lightly beaten', 'semi-skimmed milk', '100g unsalted butter', '225g icing sugar', 'cocoa powder', '2½ tbsp milk (a little more if needed)']",https://www.bbcgoodfood.com/recipes/naughty-chocolate-fudge-cake
Lemon & ginger tea,Easy,Serves 2,Back to ,12 ratings,True,False,False,False,True,Prep:5 mins,,,"['1 lemon', '2cm piece root ginger, finely sliced', 'honey to taste']",https://www.bbcgoodfood.com/recipes/lemon-ginger-tea
Air-fryer chips,Easy,Serves 4,Back to ,21 ratings,True,True,True,False,True,Prep:10 mins,Cook:35 mins,,"['4-5 large potatoes, about 1kg', '1 tbsp sunflower or  olive oil']",https://www.bbcgoodfood.com/recipes/air-fried-chips
Celery juice,Easy,Serves 2,Back to ,2 ratings,True,True,True,False,True,Prep:10 mins,,,"['1 head of  celery (about 500g)', '1 green apple (about 120g), peeled, quartered and cored ', '½-1  lemon, juiced', '20g  ginger, finely grated']",https://www.bbcgoodfood.com/recipes/celery-juice
Low-sugar lime & basil green juice,Easy,Serves 1,Back to ,5 ratings,True,True,False,False,True,Prep:5 mins,,,"['chilled apple and elderflower juice', '50g baby spinach', '20g basil leaves', 'cucumber', '1 lime, zested and juiced']",https://www.bbcgoodfood.com/recipes/low-sugar-lime-basil-green-juice
Warm spring vegetables,Easy,Serves 6,Back to ,10 ratings,True,True,False,False,True,Prep:20 mins,Cook:2 mins - 3 mins,,"['2 large courgettes, sliced into ribbons with a vegetable peeler', 'juice 1 lemon', '200g asparagus spears, washed and trimmed', '100g frozen peas', '100g frozen broad beans', '1 tbsp extra virgin olive oil', 'small pack parsley, roughly chopped']",https://www.bbcgoodfood.com/recipes/warm-spring-vegetables
How to cook brussels sprouts,Easy,Serves 8,Back to ,3 ratings,False,True,False,False,True,Prep:5 mins,Cook:10 mins,,"['750g brussels sprouts, trimmed, any large ones halved or quartered', 'Knob of unsalted butter (optional)']",https://www.bbcgoodfood.com/recipes/how-to-cook-brussels-sprouts
How to poach an egg,Easy,Serves 1 - 4,Back to ,8 ratings,True,False,True,True,True,Prep:3 mins,Cook:4 mins,,"['white wine vinegar', 'eggs, as many as you want to poach']",https://www.bbcgoodfood.com/recipes/poached-eggs
Lemon drizzle cake,Easy,Cuts into 10 slices,Back to ,2823 ratings,False,False,False,False,False,Prep:15 mins,Cook:45 mins,,"['225g unsalted butter,  softened', '225g caster sugar', '4 eggs', '225g self-raising flour', '1 lemon, zested', '1½ lemons, juiced', '85g caster sugar']",https://www.bbcgoodfood.com/recipes/lemon-drizzle-cake
Red velvet cake,More effort,Serves 18 - 20,Back to ,178 ratings,False,False,False,False,False,Prep:1 hr and 5 mins,Cook:1 hr,,"['vegetable oil,', '500g plain flour', 'cocoa powder', '4 tsp baking powder', '2 tsp bicarbonate of soda', '560g light brown soft sugar', 'fine salt', '400ml buttermilk', '4 tsp vanilla extract', 'red food colouring gel', '4 large eggs', '250g slightly salted butter, at room temperature', '750g icing sugar', 'full-fat soft cheese', '1 tsp vanilla extract']",https://www.bbcgoodfood.com/recipes/red-velvet-cake
Easy chocolate fudge cake,Easy,Serves 8,Back to ,1010 ratings,True,False,False,False,False,Prep:25 mins,Cook:30 mins,,"['150ml sunflower oil, plus extra for the tin', '175g self-raising flour', 'cocoa powder', '1 tsp bicarbonate of soda', '150g caster sugar', '2 tbsp golden syrup', '2 large eggs, lightly beaten', 'semi-skimmed milk', '100g unsalted butter', '225g icing sugar', 'cocoa powder', '2½ tbsp milk (a little more if needed)']",https://www.bbcgoodfood.com/recipes/naughty-chocolate-fudge-cake
Lemon & ginger tea,Easy,Serves 2,Back to ,12 ratings,True,False,False,False,True,Prep:5 mins,,,"['1 lemon', '2cm piece root ginger, finely sliced', 'honey to taste']",https://www.bbcgoodfood.com/recipes/lemon-ginger-tea
Air-fryer chips,Easy,Serves 4,Back to ,21 ratings,True,True,True,False,True,Prep:10 mins,Cook:35 mins,,"['4-5 large potatoes, about 1kg', '1 tbsp sunflower or  olive oil']",https://www.bbcgoodfood.com/recipes/air-fried-chips
Celery juice,Easy,Serves 2,Back to ,2 ratings,True,True,True,False,True,Prep:10 mins,,,"['1 head of  celery (about 500g)', '1 green apple (about 120g), peeled, quartered and cored ', '½-1  lemon, juiced', '20g  ginger, finely grated']",https://www.bbcgoodfood.com/recipes/celery-juice
Low-sugar lime & basil green juice,Easy,Serves 1,Back to ,5 ratings,True,True,False,False,True,Prep:5 mins,,,"['chilled apple and elderflower juice', '50g baby spinach', '20g basil leaves', 'cucumber', '1 lime, zested and juiced']",https://www.bbcgoodfood.com/recipes/low-sugar-lime-basil-green-juice
Warm spring vegetables,Easy,Serves 6,Back to ,10 ratings,True,True,False,False,True,Prep:20 mins,Cook:2 mins - 3 mins,,"['2 large courgettes, sliced into ribbons with a vegetable peeler', 'juice 1 lemon', '200g asparagus spears, washed and trimmed', '100g frozen peas', '100g frozen broad beans', '1 tbsp extra virgin olive oil', 'small pack parsley, roughly chopped']",https://www.bbcgoodfood.com/recipes/warm-spring-vegetables
How to cook brussels sprouts,Easy,Serves 8,Back to ,3 ratings,False,True,False,False,True,Prep:5 mins,Cook:10 mins,,"['750g brussels sprouts, trimmed, any large ones halved or quartered', 'Knob of unsalted butter (optional)']",https://www.bbcgoodfood.com/recipes/how-to-cook-brussels-sprouts
How to poach an egg,Easy,Serves 1 - 4,Back to ,8 ratings,True,False,True,True,True,Prep:3 mins,Cook:4 mins,,"['white wine vinegar', 'eggs, as many as you want to poach']",https://www.bbcgoodfood.com/recipes/poached-eggs
Lemon drizzle cake,Easy,Cuts into 10 slices,Back to ,2823 ratings,False,False,False,False,False,Prep:15 mins,Cook:45 mins,,"['225g unsalted butter,  softened', '225g caster sugar', '4 eggs', '225g self-raising flour', '1 lemon, zested', '1½ lemons, juiced', '85g caster sugar']",https://www.bbcgoodfood.com/recipes/lemon-drizzle-cake
Red velvet cake,More effort,Serves 18 - 20,Back to ,178 ratings,False,False,False,False,False,Prep:1 hr and 5 mins,Cook:1 hr,,"['vegetable oil,', '500g plain flour', 'cocoa powder', '4 tsp baking powder', '2 tsp bicarbonate of soda', '560g light brown soft sugar', 'fine salt', '400ml buttermilk', '4 tsp vanilla extract', 'red food colouring gel', '4 large eggs', '250g slightly salted butter, at room temperature', '750g icing sugar', 'full-fat soft cheese', '1 tsp vanilla extract']",https://www.bbcgoodfood.com/recipes/red-velvet-cake
Easy chocolate fudge cake,Easy,Serves 8,Back to ,1010 ratings,True,False,False,False,False,Prep:25 mins,Cook:30 mins,,"['150ml sunflower oil, plus extra for the tin', '175g self-raising flour', 'cocoa powder', '1 tsp bicarbonate of soda', '150g caster sugar', '2 tbsp golden syrup', '2 large eggs, lightly beaten', 'semi-skimmed milk', '100g unsalted butter', '225g icing sugar', 'cocoa powder', '2½ tbsp milk (a little more if needed)']",https://www.bbcgoodfood.com/recipes/naughty-chocolate-fudge-cake
Lemon & ginger tea,Easy,Serves 2,Back to ,12 ratings,True,False,False,False,True,Prep:5 mins,,,"['1 lemon', '2cm piece root ginger, finely sliced', 'honey to taste']",https://www.bbcgoodfood.com/recipes/lemon-ginger-tea
Air-fryer chips,Easy,Serves 4,Back to ,21 ratings,True,True,True,False,True,Prep:10 mins,Cook:35 mins,,"['4-5 large potatoes, about 1kg', '1 tbsp sunflower or  olive oil']",https://www.bbcgoodfood.com/recipes/air-fried-chips
Celery juice,Easy,Serves 2,Back to ,2 ratings,True,True,True,False,True,Prep:10 mins,,,"['1 head of  celery (about 500g)', '1 green apple (about 120g), peeled, quartered and cored ', '½-1  lemon, juiced', '20g  ginger, finely grated']",https://www.bbcgoodfood.com/recipes/celery-juice
Low-sugar lime & basil green juice,Easy,Serves 1,Back to ,5 ratings,True,True,False,False,True,Prep:5 mins,,,"['chilled apple and elderflower juice', '50g baby spinach', '20g basil leaves', 'cucumber', '1 lime, zested and juiced']",https://www.bbcgoodfood.com/recipes/low-sugar-lime-basil-green-juice
Warm spring vegetables,Easy,Serves 6,Back to ,10 ratings,True,True,False,False,True,Prep:20 mins,Cook:2 mins - 3 mins,,"['2 large courgettes, sliced into ribbons with a vegetable peeler', 'juice 1 lemon', '200g asparagus spears, washed and trimmed', '100g frozen peas', '100g frozen broad beans', '1 tbsp extra virgin olive oil', 'small pack parsley, roughly chopped']",https://www.bbcgoodfood.com/recipes/warm-spring-vegetables
How to cook brussels sprouts,Easy,Serves 8,Back to ,3 ratings,False,True,False,False,True,Prep:5 mins,Cook:10 mins,,"['750g brussels sprouts, trimmed, any large ones halved or quartered', 'Knob of unsalted butter (optional)']",https://www.bbcgoodfood.com/recipes/how-to-cook-brussels-sprouts
How to poach an egg,Easy,Serves 1 - 4,Back to ,8 ratings,True,False,True,True,True,Prep:3 mins,Cook:4 mins,,"['white wine vinegar', 'eggs, as many as you want to poach']",https://www.bbcgoodfood.com/recipes/poached-eggs
Lemon drizzle cake,Easy,Cuts into 10 slices,Back to ,2823 ratings,False,False,False,False,False,Prep:15 mins,Cook:45 mins,,"['225g unsalted butter,  softened', '225g caster sugar', '4 eggs', '225g self-raising flour', '1 lemon, zested', '1½ lemons, juiced', '85g caster sugar']",https://www.bbcgoodfood.com/recipes/lemon-drizzle-cake
Red velvet cake,More effort,Serves 18 - 20,Back to ,178 ratings,False,False,False,False,False,Prep:1 hr and 5 mins,Cook:1 hr,,"['vegetable oil,', '500g plain flour', 'cocoa powder', '4 tsp baking powder', '2 tsp bicarbonate of soda', '560g light brown soft sugar', 'fine salt', '400ml buttermilk', '4 tsp vanilla extract', 'red food colouring gel', '4 large eggs', '250g slightly salted butter, at room temperature', '750g icing sugar', 'full-fat soft cheese', '1 tsp vanilla extract']",https://www.bbcgoodfood.com/recipes/red-velvet-cake
Easy chocolate fudge cake,Easy,Serves 8,Back to ,1010 ratings,True,False,False,False,False,Prep:25 mins,Cook:30 mins,,"['150ml sunflower oil, plus extra for the tin', '175g self-raising flour', 'cocoa powder', '1 tsp bicarbonate of soda', '150g caster sugar', '2 tbsp golden syrup', '2 large eggs, lightly beaten', 'semi-skimmed milk', '100g unsalted butter', '225g icing sugar', 'cocoa powder', '2½ tbsp milk (a little more if needed)']",https://www.bbcgoodfood.com/recipes/naughty-chocolate-fudge-cake
Lemon & ginger tea,Easy,Serves 2,Back to ,12 ratings,True,False,False,False,True,Prep:5 mins,,,"['1 lemon', '2cm piece root ginger, finely sliced', 'honey to taste']",https://www.bbcgoodfood.com/recipes/lemon-ginger-tea
Air-fryer chips,Easy,Serves 4,Back to ,21 ratings,True,True,True,False,True,Prep:10 mins,Cook:35 mins,,"['4-5 large potatoes, about 1kg', '1 tbsp sunflower or  olive oil']",https://www.bbcgoodfood.com/recipes/air-fried-chips
Celery juice,Easy,Serves 2,Back to ,2 ratings,True,True,True,False,True,Prep:10 mins,,,"['1 head of  celery (about 500g)', '1 green apple (about 120g), peeled, quartered and cored ', '½-1  lemon, juiced', '20g  ginger, finely grated']",https://www.bbcgoodfood.com/recipes/celery-juice
Low-sugar lime & basil green juice,Easy,Serves 1,Back to ,5 ratings,True,True,False,False,True,Prep:5 mins,,,"['chilled apple and elderflower juice', '50g baby spinach', '20g basil leaves', 'cucumber', '1 lime, zested and juiced']",https://www.bbcgoodfood.com/recipes/low-sugar-lime-basil-green-juice
Warm spring vegetables,Easy,Serves 6,Back to ,10 ratings,True,True,False,False,True,Prep:20 mins,Cook:2 mins - 3 mins,,"['2 large courgettes, sliced into ribbons with a vegetable peeler', 'juice 1 lemon', '200g asparagus spears, washed and trimmed', '100g frozen peas', '100g frozen broad beans', '1 tbsp extra virgin olive oil', 'small pack parsley, roughly chopped']",https://www.bbcgoodfood.com/recipes/warm-spring-vegetables
How to cook brussels sprouts,Easy,Serves 8,Back to ,3 ratings,False,True,False,False,True,Prep:5 mins,Cook:10 mins,,"['750g brussels sprouts, trimmed, any large ones halved or quartered', 'Knob of unsalted butter (optional)']",https://www.bbcgoodfood.com/recipes/how-to-cook-brussels-sprouts
How to poach an egg,Easy,Serves 1 - 4,Back to ,8 ratings,True,False,True,True,True,Prep:3 mins,Cook:4 mins,,"['white wine vinegar', 'eggs, as many as you want to poach']",https://www.bbcgoodfood.com/recipes/poached-eggs
Lemon drizzle cake,Easy,Cuts into 10 slices,Back to ,2823 ratings,False,False,False,False,False,Prep:15 mins,Cook:45 mins,,"['225g unsalted butter,  softened', '225g caster sugar', '4 eggs', '225g self-raising flour', '1 lemon, zested', '1½ lemons, juiced', '85g caster sugar']",https://www.bbcgoodfood.com/recipes/lemon-drizzle-cake
Red velvet cake,More effort,Serves 18 - 20,Back to ,178 ratings,False,False,False,False,False,Prep:1 hr and 5 mins,Cook:1 hr,,"['vegetable oil,', '500g plain flour', 'cocoa powder', '4 tsp baking powder', '2 tsp bicarbonate of soda', '560g light brown soft sugar', 'fine salt', '400ml buttermilk', '4 tsp vanilla extract', 'red food colouring gel', '4 large eggs', '250g slightly salted butter, at room temperature', '750g icing sugar', 'full-fat soft cheese', '1 tsp vanilla extract']",https://www.bbcgoodfood.com/recipes/red-velvet-cake
Easy chocolate fudge cake,Easy,Serves 8,Back to ,1010 ratings,True,False,False,False,False,Prep:25 mins,Cook:30 mins,,"['150ml sunflower oil, plus extra for the tin', '175g self-raising flour', 'cocoa powder', '1 tsp bicarbonate of soda', '150g caster sugar', '2 tbsp golden syrup', '2 large eggs, lightly beaten', 'semi-skimmed milk', '100g unsalted butter', '225g icing sugar', 'cocoa powder', '2½ tbsp milk (a little more if needed)']",https://www.bbcgoodfood.com/recipes/naughty-chocolate-fudge-cake
Lemon & ginger tea,Easy,Serves 2,Back to ,12 ratings,True,False,False,False,True,Prep:5 mins,,,"['1 lemon', '2cm piece root ginger, finely sliced', 'honey to taste']",https://www.bbcgoodfood.com/recipes/lemon-ginger-tea
Air-fryer chips,Easy,Serves 4,Back to ,21 ratings,True,True,True,False,True,Prep:10 mins,Cook:35 mins,,"['4-5 large potatoes, about 1kg', '1 tbsp sunflower or  olive oil']",https://www.bbcgoodfood.com/recipes/air-fried-chips
Celery juice,Easy,Serves 2,Back to ,2 ratings,True,True,True,False,True,Prep:10 mins,,,"['1 head of  celery (about 500g)', '1 green apple (about 120g), peeled, quartered and cored ', '½-1  lemon, juiced', '20g  ginger, finely grated']",https://www.bbcgoodfood.com/recipes/celery-juice
Low-sugar lime & basil green juice,Easy,Serves 1,Back to ,5 ratings,True,True,False,False,True,Prep:5 mins,,,"['chilled apple and elderflower juice', '50g baby spinach', '20g basil leaves', 'cucumber', '1 lime, zested and juiced']",https://www.bbcgoodfood.com/recipes/low-sugar-lime-basil-green-juice
Warm spring vegetables,Easy,Serves 6,Back to ,10 ratings,True,True,False,False,True,Prep:20 mins,Cook:2 mins - 3 mins,,"['2 large courgettes, sliced into ribbons with a vegetable peeler', 'juice 1 lemon', '200g asparagus spears, washed and trimmed', '100g frozen peas', '100g frozen broad beans', '1 tbsp extra virgin olive oil', 'small pack parsley, roughly chopped']",https://www.bbcgoodfood.com/recipes/warm-spring-vegetables
How to cook brussels sprouts,Easy,Serves 8,Back to ,3 ratings,False,True,False,False,True,Prep:5 mins,Cook:10 mins,,"['750g brussels sprouts, trimmed, any large ones halved or quartered', 'Knob of unsalted butter (optional)']",https://www.bbcgoodfood.com/recipes/how-to-cook-brussels-sprouts
How to poach an egg,Easy,Serves 1 - 4,Back to ,8 ratings,True,False,True,True,True,Prep:3 mins,Cook:4 mins,,"['white wine vinegar', 'eggs, as many as you want to poach']",https://www.bbcgoodfood.com/recipes/poached-eggs
Lemon drizzle cake,Easy,Cuts into 10 slices,Back to ,2823 ratings,False,False,False,False,False,Prep:15 mins,Cook:45 mins,,"['225g unsalted butter,  softened', '225g caster sugar', '4 eggs', '225g self-raising flour', '1 lemon, zested', '1½ lemons, juiced', '85g caster sugar']",https://www.bbcgoodfood.com/recipes/lemon-drizzle-cake
Red velvet cake,More effort,Serves 18 - 20,Back to ,178 ratings,False,False,False,False,False,Prep:1 hr and 5 mins,Cook:1 hr,,"['vegetable oil,', '500g plain flour', 'cocoa powder', '4 tsp baking powder', '2 tsp bicarbonate of soda', '560g light brown soft sugar', 'fine salt', '400ml buttermilk', '4 tsp vanilla extract', 'red food colouring gel', '4 large eggs', '250g slightly salted butter, at room temperature', '750g icing sugar', 'full-fat soft cheese', '1 tsp vanilla extract']",https://www.bbcgoodfood.com/recipes/red-velvet-cake
Easy chocolate fudge cake,Easy,Serves 8,Back to ,1010 ratings,True,False,False,False,False,Prep:25 mins,Cook:30 mins,,"['150ml sunflower oil, plus extra for the tin', '175g self-raising flour', 'cocoa powder', '1 tsp bicarbonate of soda', '150g caster sugar', '2 tbsp golden syrup', '2 large eggs, lightly beaten', 'semi-skimmed milk', '100g unsalted butter', '225g icing sugar', 'cocoa powder', '2½ tbsp milk (a little more if needed)']",https://www.bbcgoodfood.com/recipes/naughty-chocolate-fudge-cake
Lemon & ginger tea,Easy,Serves 2,Back to ,12 ratings,True,False,False,False,True,Prep:5 mins,,,"['1 lemon', '2cm piece root ginger, finely sliced', 'honey to taste']",https://www.bbcgoodfood.com/recipes/lemon-ginger-tea
Air-fryer chips,Easy,Serves 4,Back to ,21 ratings,True,True,True,False,True,Prep:10 mins,Cook:35 mins,,"['4-5 large potatoes, about 1kg', '1 tbsp sunflower or  olive oil']",https://www.bbcgoodfood.com/recipes/air-fried-chips
Celery juice,Easy,Serves 2,Back to ,2 ratings,True,True,True,False,True,Prep:10 mins,,,"['1 head of  celery (about 500g)', '1 green apple (about 120g), peeled, quartered and cored ', '½-1  lemon, juiced', '20g  ginger, finely grated']",https://www.bbcgoodfood.com/recipes/celery-juice
Low-sugar lime & basil green juice,Easy,Serves 1,Back to ,5 ratings,True,True,False,False,True,Prep:5 mins,,,"['chilled apple and elderflower juice', '50g baby spinach', '20g basil leaves', 'cucumber', '1 lime, zested and juiced']",https://www.bbcgoodfood.com/recipes/low-sugar-lime-basil-green-juice
Warm spring vegetables,Easy,Serves 6,Back to ,10 ratings,True,True,False,False,True,Prep:20 mins,Cook:2 mins - 3 mins,,"['2 large courgettes, sliced into ribbons with a vegetable peeler', 'juice 1 lemon', '200g asparagus spears, washed and trimmed', '100g frozen peas', '100g frozen broad beans', '1 tbsp extra virgin olive oil', 'small pack parsley, roughly chopped']",https://www.bbcgoodfood.com/recipes/warm-spring-vegetables
How to cook brussels sprouts,Easy,Serves 8,Back to ,3 ratings,False,True,False,False,True,Prep:5 mins,Cook:10 mins,,"['750g brussels sprouts, trimmed, any large ones halved or quartered', 'Knob of unsalted butter (optional)']",https://www.bbcgoodfood.com/recipes/how-to-cook-brussels-sprouts
How to poach an egg,Easy,Serves 1 - 4,Back to ,8 ratings,True,False,True,True,True,Prep:3 mins,Cook:4 mins,,"['white wine vinegar', 'eggs, as many as you want to poach']",https://www.bbcgoodfood.com/recipes/poached-eggs
Lemon drizzle cake,Easy,Cuts into 10 slices,Back to ,2823 ratings,False,False,False,False,False,Prep:15 mins,Cook:45 mins,,"['225g unsalted butter,  softened', '225g caster sugar', '4 eggs', '225g self-raising flour', '1 lemon, zested', '1½ lemons, juiced', '85g caster sugar']",https://www.bbcgoodfood.com/recipes/lemon-drizzle-cake
Red velvet cake,More effort,Serves 18 - 20,Back to ,178 ratings,False,False,False,False,False,Prep:1 hr and 5 mins,Cook:1 hr,,"['vegetable oil,', '500g plain flour', 'cocoa powder', '4 tsp baking powder', '2 tsp bicarbonate of soda', '560g light brown soft sugar', 'fine salt', '400ml buttermilk', '4 tsp vanilla extract', 'red food colouring gel', '4 large eggs', '250g slightly salted butter, at room temperature', '750g icing sugar', 'full-fat soft cheese', '1 tsp vanilla extract']",https://www.bbcgoodfood.com/recipes/red-velvet-cake
Easy chocolate fudge cake,Easy,Serves 8,Back to ,1010 ratings,True,False,False,False,False,Prep:25 mins,Cook:30 mins,,"['150ml sunflower oil, plus extra for the tin', '175g self-raising flour', 'cocoa powder', '1 tsp bicarbonate of soda', '150g caster sugar', '2 tbsp golden syrup', '2 large eggs, lightly beaten', 'semi-skimmed milk', '100g unsalted butter', '225g icing sugar', 'cocoa powder', '2½ tbsp milk (a little more if needed)']",https://www.bbcgoodfood.com/recipes/naughty-chocolate-fudge-cake
Lemon & ginger tea,Easy,Serves 2,Back to ,12 ratings,True,False,False,False,True,Prep:5 mins,,,"['1 lemon', '2cm piece root ginger, finely sliced', 'honey to taste']",https://www.bbcgoodfood.com/recipes/lemon-ginger-tea
Air-fryer chips,Easy,Serves 4,Back to ,21 ratings,True,True,True,False,True,Prep:10 mins,Cook:35 mins,,"['4-5 large potatoes, about 1kg', '1 tbsp sunflower or  olive oil']",https://www.bbcgoodfood.com/recipes/air-fried-chips
Celery juice,Easy,Serves 2,Back to ,2 ratings,True,True,True,False,True,Prep:10 mins,,,"['1 head of  celery (about 500g)', '1 green apple (about 120g), peeled, quartered and cored ', '½-1  lemon, juiced', '20g  ginger, finely grated']",https://www.bbcgoodfood.com/recipes/celery-juice
Low-sugar lime & basil green juice,Easy,Serves 1,Back to ,5 ratings,True,True,False,False,True,Prep:5 mins,,,"['chilled apple and elderflower juice', '50g baby spinach', '20g basil leaves', 'cucumber', '1 lime, zested and juiced']",https://www.bbcgoodfood.com/recipes/low-sugar-lime-basil-green-juice
Warm spring vegetables,Easy,Serves 6,Back to ,10 ratings,True,True,False,False,True,Prep:20 mins,Cook:2 mins - 3 mins,,"['2 large courgettes, sliced into ribbons with a vegetable peeler', 'juice 1 lemon', '200g asparagus spears, washed and trimmed', '100g frozen peas', '100g frozen broad beans', '1 tbsp extra virgin olive oil', 'small pack parsley, roughly chopped']",https://www.bbcgoodfood.com/recipes/warm-spring-vegetables
How to cook brussels sprouts,Easy,Serves 8,Back to ,3 ratings,False,True,False,False,True,Prep:5 mins,Cook:10 mins,,"['750g brussels sprouts, trimmed, any large ones halved or quartered', 'Knob of unsalted butter (optional)']",https://www.bbcgoodfood.com/recipes/how-to-cook-brussels-sprouts
How to poach an egg,Easy,Serves 1 - 4,Back to ,8 ratings,True,False,True,True,True,Prep:3 mins,Cook:4 mins,,"['white wine vinegar', 'eggs, as many as you want to poach']",https://www.bbcgoodfood.com/recipes/poached-eggs
